step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
20.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
25.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
30.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
35.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
40.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,False,,
45.0,0,0.0,0.0,11.56255725864321,0,0.0,0.8273708491157253,0,0.0,False,,
50.0,0,0.0,0.0,13.496747112399378,0,0.0,0.9657738222518814,0,0.0,False,,
55.0,0,0.0,0.0,2.274390108872898,0,0.0,0.16274635735895931,0,0.0,False,,
60.0,1,4.0,4.0,0.00025156621392791406,1,4.0,1.8001082924002764e-05,1,4.0,False,,
65.0,1,9.0,9.0,0.0,1,9.0,0.0,1,9.0,False,,
70.0,1,14.0,7.0,5.781278629321605,1,14.0,0.393415934402644,1,14.0,False,,
75.0,1,19.0,9.5,7.108383556199688,1,19.0,0.4837254071566598,1,19.0,False,,
80.0,1,24.0,12.0,7.14679628361525,1,24.0,0.0,1,24.0,False,,
85.0,1,29.0,14.5,7.108383556199688,1,29.0,0.0,1,29.0,False,,
90.0,1,34.0,34.0,0.0,1,34.0,0.0,1,34.0,False,,
95.0,1,39.0,19.5,5.0,1,39.0,0.35608021205288787,1,39.0,False,,
100.0,1,44.0,22.0,6.781733556199689,1,44.0,0.4829682245555541,1,44.0,False,,
105.0,1,49.0,24.5,6.793497277031057,1,49.0,0.483805990197187,1,49.0,False,,
110.0,1,54.0,27.0,6.888385464859531,1,54.0,0.0,1,54.0,False,,
115.0,1,59.0,19.666666666666668,8.341699572328702,1,59.0,0.40947698212769673,1,59.0,False,,
120.0,1,64.0,32.0,6.971809283176716,1,64.0,0.498577547890836,1,64.0,False,,
125.0,1,69.0,23.0,3.6285146328807376,1,69.0,0.25162222035170295,1,69.0,False,,
130.0,2,78.0,19.5,6.078753517015475,2,78.0,0.4482810233239496,2,78.0,False,,
135.0,2,88.0,22.0,3.4492847294083684,2,88.0,0.27235540469354164,2,88.0,False,,
140.0,3,102.0,25.5,1.4933321827517447,3,102.0,0.11959089459278459,3,102.0,False,,
145.0,4,121.0,30.25,0.0003284924011056331,4,121.0,2.6308078417156713e-05,4,121.0,False,,
150.0,4,141.0,35.25,0.0,4,141.0,0.0,4,141.0,False,,
155.0,4,161.0,40.25,0.0,4,161.0,0.0,4,161.0,False,,
160.0,4,181.0,45.25,0.0,4,181.0,0.0,4,181.0,False,,
165.0,4,201.0,40.2,2.20608080443725,4,201.0,0.1960603449537862,4,201.0,False,,
170.0,4,221.0,44.2,2.1865874998018517,4,221.0,0.19432792244985153,4,221.0,False,,
175.0,4,241.0,48.2,0.1545406958939825,4,241.0,0.01373444802449176,4,241.0,False,,
180.0,5,265.0,53.0,0.0,5,265.0,0.0,5,265.0,False,,
185.0,5,290.0,58.0,0.0,5,290.0,0.0,5,290.0,False,,
190.0,5,315.0,63.0,0.0,5,315.0,0.0,5,315.0,False,,
195.0,5,340.0,56.666666666666664,1.7891651549531769,5,340.0,0.14981019276365304,5,340.0,False,,
200.0,5,365.0,40.55555555555556,5.072868671605893,5,365.0,0.3734177924507592,5,365.0,False,,
205.0,5,390.0,43.333333333333336,5.954630269075152,5,390.0,0.43536510553597774,5,390.0,False,,
210.0,5,415.0,41.5,5.671116237889048,5,415.0,0.27764016370396855,5,415.0,False,,
215.0,6,443.0,44.3,5.35302402080946,6,443.0,0.14053964128833424,6,443.0,False,,
220.0,6,473.0,59.125,2.4575731476357916,6,473.0,0.07465833835704602,6,473.0,False,,
225.0,7,506.0,72.28571428571429,1.4451391755052115e-05,7,506.0,1.058186739528227e-06,7,506.0,False,,
230.0,7,541.0,67.625,1.4971503048727755,7,541.0,0.09848999179482296,7,541.0,False,,
235.0,7,576.0,57.6,3.8216127615605444,7,576.0,0.26782250998873985,7,576.0,False,,
240.0,8,612.0,55.63636363636363,3.544264820526827,8,612.0,0.2543221593773238,8,612.0,False,,
245.0,9,653.0,59.36363636363637,1.4778229818774784,9,653.0,0.02949969011925647,9,653.0,False,,
250.0,10,703.0,54.07692307692308,2.6408289341625792,10,703.0,0.14008333264999703,10,703.0,False,,
255.0,10,753.0,50.2,4.216736872898395,10,753.0,0.2740159922621665,10,753.0,False,,
260.0,11,804.0,50.25,2.8275341514187744,11,804.0,0.20538399407208133,11,804.0,False,,
265.0,14,868.0,51.05882352941177,1.8314053064910116,14,868.0,0.14288973860689835,14,868.0,False,,
270.0,10,361.0,21.235294117647058,1.2152032092519574,10,665.0,0.0922287171229435,10,665.0,False,,
275.0,7,206.0,12.117647058823529,1.9276599621096986,7,536.0,0.06255197997183763,7,536.0,False,,
280.0,6,171.0,10.058823529411764,2.9355716072142917,6,542.0,0.06751511929345742,6,542.0,False,,
285.0,9,205.0,11.38888888888889,4.546828089419574,9,561.0,0.09791343658002667,9,561.0,False,,
290.0,7,220.0,14.666666666666666,3.840982763563889,7,460.0,0.18082216359483913,7,460.0,False,,
295.0,4,219.0,13.6875,5.428650206344656,4,347.0,0.17372806926352652,4,347.0,False,,
300.0,5,231.0,17.76923076923077,3.9012711763135495,5,343.0,0.13432853576596207,5,343.0,False,,
305.0,8,268.0,22.333333333333332,2.8545589679764,8,380.0,0.0002141445689944443,8,380.0,False,,
310.0,5,274.0,24.90909090909091,2.7479964980083023,5,368.0,0.10047752225803773,5,368.0,False,,
315.0,3,272.0,20.923076923076923,6.099754481724586,3,339.0,0.3484012125838228,3,339.0,False,,
320.0,5,290.0,24.166666666666668,6.094435225752153,5,357.0,0.3769102758772277,5,357.0,False,,
325.0,6,319.0,24.53846153846154,6.4863027579443635,6,386.0,0.22862084285428855,6,386.0,False,,
330.0,4,320.0,29.09090909090909,5.376505722486797,4,373.0,0.131330587676667,4,373.0,False,,
335.0,3,332.0,30.181818181818183,6.407055710276591,3,352.0,0.3141272071931021,3,352.0,False,,
340.0,5,353.0,35.3,6.174078655987975,5,373.0,0.285579648301769,5,373.0,False,,
345.0,5,378.0,37.8,6.394121433293321,5,398.0,0.14511634053448808,5,398.0,False,,
350.0,3,377.0,37.7,7.126816085512485,3,390.0,0.329030878707974,3,390.0,False,,
355.0,3,392.0,56.0,5.339676591841495,3,392.0,0.2441892807813573,3,392.0,False,,
360.0,4,408.0,51.0,5.293948776373657,4,408.0,0.17588013054369153,4,408.0,False,,
365.0,4,428.0,38.90909090909091,7.732117281568356,4,428.0,0.4128736906801761,4,428.0,False,,
370.0,3,353.0,44.125,5.35769531183811,3,353.0,0.39630849833240145,3,353.0,False,,
375.0,5,376.0,47.0,3.009421182179987,5,376.0,0.16641977552501078,5,376.0,False,,
380.0,5,384.0,42.666666666666664,4.4615839927213985,5,384.0,0.1639959868794706,5,384.0,False,,
385.0,5,409.0,51.125,3.6138325959574713,5,409.0,0.162893521529553,5,409.0,False,,
390.0,3,400.0,50.0,4.160914902358345,3,412.0,0.2608815402454168,3,412.0,False,,
395.0,4,419.0,41.9,6.044394184779955,4,419.0,0.3401392789684845,4,419.0,False,,
400.0,4,431.0,47.888888888888886,5.49319803440774,4,431.0,0.30823832640864146,4,431.0,False,,
405.0,4,451.0,45.1,6.452889306812447,4,451.0,0.14312040916268168,4,451.0,False,,
410.0,3,460.0,46.0,7.5519215168599105,3,460.0,0.35684201551498224,3,460.0,False,,
415.0,3,475.0,52.77777777777778,8.4021641258086,3,475.0,0.24815397989551694,3,475.0,False,,
420.0,3,490.0,81.66666666666667,6.8165548748916756,3,490.0,0.0,3,490.0,False,,
425.0,3,505.0,84.16666666666667,6.745281641210224,3,505.0,0.19069699141024882,3,505.0,False,,
430.0,3,520.0,104.0,5.633584890163325,3,520.0,0.353298523572753,3,520.0,False,,
435.0,3,535.0,89.16666666666667,7.268128222969417,3,535.0,0.3917603534892266,3,535.0,False,,
440.0,3,550.0,68.75,8.627274335994429,3,550.0,0.4282203900407642,3,550.0,False,,
445.0,3,565.0,56.5,8.150818252538425,3,565.0,0.4867420823206064,3,565.0,False,,
450.0,4,585.0,48.75,6.536750921507715,4,585.0,0.4739618937248267,4,585.0,False,,
455.0,7,615.0,47.30769230769231,4.6024439585214925,7,615.0,0.3069300790129789,7,615.0,False,,
460.0,5,632.0,42.13333333333333,4.933406196389458,5,642.0,0.26316957876864944,5,642.0,False,,
465.0,7,664.0,36.888888888888886,5.851507377437583,7,668.0,0.3941451781161969,7,668.0,False,,
470.0,7,699.0,34.95,6.266734289440072,7,699.0,0.3876124942505879,7,699.0,False,,
475.0,9,742.0,37.1,5.6837179404275915,9,742.0,0.20887144380483105,9,742.0,False,,
480.0,8,765.0,38.25,5.4356503282591095,8,776.0,0.2637573045119795,8,776.0,False,,
485.0,11,813.0,42.78947368421053,3.846828854940409,11,817.0,0.2645454774040499,11,817.0,False,,
490.0,11,856.0,38.90909090909091,4.311983355568322,11,865.0,0.28436368354094094,11,865.0,False,,
495.0,13,916.0,41.63636363636363,4.070648423461534,13,920.0,0.13231380080438399,13,920.0,False,,
500.0,11,885.0,42.142857142857146,3.811422630035262,11,932.0,0.08815889807019352,11,932.0,False,,
505.0,12,935.0,49.21052631578947,2.5360354195050276,12,961.0,0.0836639867689862,12,961.0,False,,
510.0,13,990.0,49.5,3.358414690690779,13,1016.0,0.15445268101143264,13,1016.0,False,,
515.0,13,1055.0,55.526315789473685,3.346721012349698,13,1081.0,0.15340408994503452,13,1081.0,False,,
520.0,12,1101.0,57.94736842105263,2.858871844317433,12,1120.0,0.1318224025388877,12,1120.0,False,,
525.0,14,1167.0,55.57142857142857,3.2478792789653994,14,1171.0,0.18544251267849549,14,1171.0,False,,
530.0,12,1221.0,61.05,3.286843954799932,12,1225.0,0.20469138076170854,12,1225.0,False,,
535.0,12,1281.0,61.0,3.930921947416952,12,1285.0,0.1687085280299899,12,1285.0,False,,
